Districts,Zone,Geographical Region,Development Region,Level,Enrollment Rate
Achham,Seti,Hill,Far-Western,Primary Girls,95.7
Achham,Seti,Hill,Far-Western,Primary Boys,95.3
Achham,Seti,Hill,Far-Western,Lower secondary Girls,53.4
Achham,Seti,Hill,Far-Western,Lower secondary Boys,65.2
Achham,Seti,Hill,Far-Western,Basic Girls,82.5
Achham,Seti,Hill,Far-Western,Basic Boys,85.0
Achham,Seti,Hill,Far-Western,Secondary  Girls,41.9
Achham,Seti,Hill,Far-Western,Secondary  Boys,56.9
Achham,Seti,Hill,Far-Western,Higher secondary Girls,7.7
Achham,Seti,Hill,Far-Western,Higher secondary Boys,15.6
Achham,Seti,Hill,Far-Western,Secondary Girls,24.6
Achham,Seti,Hill,Far-Western,Secondary Boys,37.4
Arghakhanchi,Lumbini,Hill,Western,Primary Girls,93.7
Arghakhanchi,Lumbini,Hill,Western,Primary Boys,98.5
Arghakhanchi,Lumbini,Hill,Western,Lower secondary Girls,85.0
Arghakhanchi,Lumbini,Hill,Western,Lower secondary Boys,80.4
Arghakhanchi,Lumbini,Hill,Western,Basic Girls,90.7
Arghakhanchi,Lumbini,Hill,Western,Basic Boys,91.8
Arghakhanchi,Lumbini,Hill,Western,Secondary  Girls,60.5
Arghakhanchi,Lumbini,Hill,Western,Secondary  Boys,62.9
Arghakhanchi,Lumbini,Hill,Western,Higher secondary Girls,11.3
Arghakhanchi,Lumbini,Hill,Western,Higher secondary Boys,9.5
Arghakhanchi,Lumbini,Hill,Western,Secondary Girls,36.0
Arghakhanchi,Lumbini,Hill,Western,Secondary Boys,39.9
Baglung,Dhawalagiri,Hill,Western,Primary Girls,96.7
Baglung,Dhawalagiri,Hill,Western,Primary Boys,98.9
Baglung,Dhawalagiri,Hill,Western,Lower secondary Girls,83.8
Baglung,Dhawalagiri,Hill,Western,Lower secondary Boys,79.7
Baglung,Dhawalagiri,Hill,Western,Basic Girls,92.3
Baglung,Dhawalagiri,Hill,Western,Basic Boys,92.4
Baglung,Dhawalagiri,Hill,Western,Secondary  Girls,70.1
Baglung,Dhawalagiri,Hill,Western,Secondary  Boys,59.5
Baglung,Dhawalagiri,Hill,Western,Higher secondary Girls,16.1
Baglung,Dhawalagiri,Hill,Western,Higher secondary Boys,13.0
Baglung,Dhawalagiri,Hill,Western,Secondary Girls,43.2
Baglung,Dhawalagiri,Hill,Western,Secondary Boys,38.4
Baitadi,Mahakali,Hill,Far-Western,Primary Girls,96.2
Baitadi,Mahakali,Hill,Far-Western,Primary Boys,96.3
Baitadi,Mahakali,Hill,Far-Western,Lower secondary Girls,65.3
Baitadi,Mahakali,Hill,Far-Western,Lower secondary Boys,71.7
Baitadi,Mahakali,Hill,Far-Western,Basic Girls,86.3
Baitadi,Mahakali,Hill,Far-Western,Basic Boys,87.9
Baitadi,Mahakali,Hill,Far-Western,Secondary  Girls,58.6
Baitadi,Mahakali,Hill,Far-Western,Secondary  Boys,62.5
Baitadi,Mahakali,Hill,Far-Western,Higher secondary Girls,10.2
Baitadi,Mahakali,Hill,Far-Western,Higher secondary Boys,15.7
Baitadi,Mahakali,Hill,Far-Western,Secondary Girls,34.0
Baitadi,Mahakali,Hill,Far-Western,Secondary Boys,39.5
Bajhang,Seti,Mountain,Far-Western,Primary Girls,97.2
Bajhang,Seti,Mountain,Far-Western,Primary Boys,96.3
Bajhang,Seti,Mountain,Far-Western,Lower secondary Girls,68.3
Bajhang,Seti,Mountain,Far-Western,Lower secondary Boys,76.7
Bajhang,Seti,Mountain,Far-Western,Basic Girls,88.8
Bajhang,Seti,Mountain,Far-Western,Basic Boys,90.4
Bajhang,Seti,Mountain,Far-Western,Secondary  Girls,46.6
Bajhang,Seti,Mountain,Far-Western,Secondary  Boys,68.8
Bajhang,Seti,Mountain,Far-Western,Higher secondary Girls,4.7
Bajhang,Seti,Mountain,Far-Western,Higher secondary Boys,8.5
Bajhang,Seti,Mountain,Far-Western,Secondary Girls,25.2
Bajhang,Seti,Mountain,Far-Western,Secondary Boys,39.4
Bajura,Seti,Mountain,Far-Western,Primary Girls,95.1
Bajura,Seti,Mountain,Far-Western,Primary Boys,96.4
Bajura,Seti,Mountain,Far-Western,Lower secondary Girls,77.7
Bajura,Seti,Mountain,Far-Western,Lower secondary Boys,74.9
Bajura,Seti,Mountain,Far-Western,Basic Girls,89.9
Bajura,Seti,Mountain,Far-Western,Basic Boys,89.9
Bajura,Seti,Mountain,Far-Western,Secondary  Girls,47.9
Bajura,Seti,Mountain,Far-Western,Secondary  Boys,69.3
Bajura,Seti,Mountain,Far-Western,Higher secondary Girls,8.4
Bajura,Seti,Mountain,Far-Western,Higher secondary Boys,16.6
Bajura,Seti,Mountain,Far-Western,Secondary Girls,28.4
Bajura,Seti,Mountain,Far-Western,Secondary Boys,44.1
Banke,Bheri,Terai,Mid-Western,Primary Girls,97.4
Banke,Bheri,Terai,Mid-Western,Primary Boys,96.8
Banke,Bheri,Terai,Mid-Western,Lower secondary Girls,64.3
Banke,Bheri,Terai,Mid-Western,Lower secondary Boys,70.7
Banke,Bheri,Terai,Mid-Western,Basic Girls,86.4
Banke,Bheri,Terai,Mid-Western,Basic Boys,88.0
Banke,Bheri,Terai,Mid-Western,Secondary  Girls,48.8
Banke,Bheri,Terai,Mid-Western,Secondary  Boys,49.0
Banke,Bheri,Terai,Mid-Western,Higher secondary Girls,11.1
Banke,Bheri,Terai,Mid-Western,Higher secondary Boys,12.7
Banke,Bheri,Terai,Mid-Western,Secondary Girls,29.8
Banke,Bheri,Terai,Mid-Western,Secondary Boys,30.7
Bara,Narayani,Terai,Central,Primary Girls,95.6
Bara,Narayani,Terai,Central,Primary Boys,96.4
Bara,Narayani,Terai,Central,Lower secondary Girls,54.6
Bara,Narayani,Terai,Central,Lower secondary Boys,53.0
Bara,Narayani,Terai,Central,Basic Girls,84.2
Bara,Narayani,Terai,Central,Basic Boys,83.7
Bara,Narayani,Terai,Central,Secondary  Girls,38.7
Bara,Narayani,Terai,Central,Secondary  Boys,40.8
Bara,Narayani,Terai,Central,Higher secondary Girls,7.3
Bara,Narayani,Terai,Central,Higher secondary Boys,6.9
Bara,Narayani,Terai,Central,Secondary Girls,22.8
Bara,Narayani,Terai,Central,Secondary Boys,23.6
Bardiya,Bheri,Terai,Mid-Western,Primary Girls,96.9
Bardiya,Bheri,Terai,Mid-Western,Primary Boys,97.8
Bardiya,Bheri,Terai,Mid-Western,Lower secondary Girls,77.1
Bardiya,Bheri,Terai,Mid-Western,Lower secondary Boys,78.8
Bardiya,Bheri,Terai,Mid-Western,Basic Girls,90.0
Bardiya,Bheri,Terai,Mid-Western,Basic Boys,91.1
Bardiya,Bheri,Terai,Mid-Western,Secondary  Girls,45.8
Bardiya,Bheri,Terai,Mid-Western,Secondary  Boys,49.2
Bardiya,Bheri,Terai,Mid-Western,Higher secondary Girls,6.3
Bardiya,Bheri,Terai,Mid-Western,Higher secondary Boys,6.0
Bardiya,Bheri,Terai,Mid-Western,Secondary Girls,25.8
Bardiya,Bheri,Terai,Mid-Western,Secondary Boys,28.1
Bhaktapur,Bagmati,Hill,Central,Primary Girls,98.4
Bhaktapur,Bagmati,Hill,Central,Primary Boys,97.5
Bhaktapur,Bagmati,Hill,Central,Lower secondary Girls,95.1
Bhaktapur,Bagmati,Hill,Central,Lower secondary Boys,80.5
Bhaktapur,Bagmati,Hill,Central,Basic Girls,97.1
Bhaktapur,Bagmati,Hill,Central,Basic Boys,91.1
Bhaktapur,Bagmati,Hill,Central,Secondary  Girls,75.2
Bhaktapur,Bagmati,Hill,Central,Secondary  Boys,77.4
Bhaktapur,Bagmati,Hill,Central,Higher secondary Girls,20.7
Bhaktapur,Bagmati,Hill,Central,Higher secondary Boys,20.3
Bhaktapur,Bagmati,Hill,Central,Secondary Girls,47.3
Bhaktapur,Bagmati,Hill,Central,Secondary Boys,47.2
Bhojpur,Kosi,Hill,Eastern,Primary Girls,96.9
Bhojpur,Kosi,Hill,Eastern,Primary Boys,96.6
Bhojpur,Kosi,Hill,Eastern,Lower secondary Girls,76.5
Bhojpur,Kosi,Hill,Eastern,Lower secondary Boys,76.6
Bhojpur,Kosi,Hill,Eastern,Basic Girls,89.4
Bhojpur,Kosi,Hill,Eastern,Basic Boys,88.9
Bhojpur,Kosi,Hill,Eastern,Secondary  Girls,50.3
Bhojpur,Kosi,Hill,Eastern,Secondary  Boys,47.7
Bhojpur,Kosi,Hill,Eastern,Higher secondary Girls,11.2
Bhojpur,Kosi,Hill,Eastern,Higher secondary Boys,8.0
Bhojpur,Kosi,Hill,Eastern,Secondary Girls,31.4
Bhojpur,Kosi,Hill,Eastern,Secondary Boys,28.5
Chitawan,Narayani,Terai,Central,Primary Girls,96.8
Chitawan,Narayani,Terai,Central,Primary Boys,96.9
Chitawan,Narayani,Terai,Central,Lower secondary Girls,90.6
Chitawan,Narayani,Terai,Central,Lower secondary Boys,92.8
Chitawan,Narayani,Terai,Central,Basic Girls,94.6
Chitawan,Narayani,Terai,Central,Basic Boys,95.5
Chitawan,Narayani,Terai,Central,Secondary  Girls,69.5
Chitawan,Narayani,Terai,Central,Secondary  Boys,64.8
Chitawan,Narayani,Terai,Central,Higher secondary Girls,10.9
Chitawan,Narayani,Terai,Central,Higher secondary Boys,10.6
Chitawan,Narayani,Terai,Central,Secondary Girls,39.5
Chitawan,Narayani,Terai,Central,Secondary Boys,37.8
Dadeldhura,Mahakali,Hill,Far-Western,Primary Girls,98.4
Dadeldhura,Mahakali,Hill,Far-Western,Primary Boys,98.2
Dadeldhura,Mahakali,Hill,Far-Western,Lower secondary Girls,79.0
Dadeldhura,Mahakali,Hill,Far-Western,Lower secondary Boys,81.7
Dadeldhura,Mahakali,Hill,Far-Western,Basic Girls,92.0
Dadeldhura,Mahakali,Hill,Far-Western,Basic Boys,92.9
Dadeldhura,Mahakali,Hill,Far-Western,Secondary  Girls,59.5
Dadeldhura,Mahakali,Hill,Far-Western,Secondary  Boys,57.2
Dadeldhura,Mahakali,Hill,Far-Western,Higher secondary Girls,9.0
Dadeldhura,Mahakali,Hill,Far-Western,Higher secondary Boys,12.5
Dadeldhura,Mahakali,Hill,Far-Western,Secondary Girls,33.5
Dadeldhura,Mahakali,Hill,Far-Western,Secondary Boys,35.4
Dailekh,Bheri,Hill,Mid-Western,Primary Girls,95.8
Dailekh,Bheri,Hill,Mid-Western,Primary Boys,98.3
Dailekh,Bheri,Hill,Mid-Western,Lower secondary Girls,75.9
Dailekh,Bheri,Hill,Mid-Western,Lower secondary Boys,74.0
Dailekh,Bheri,Hill,Mid-Western,Basic Girls,89.2
Dailekh,Bheri,Hill,Mid-Western,Basic Boys,90.3
Dailekh,Bheri,Hill,Mid-Western,Secondary  Girls,55.6
Dailekh,Bheri,Hill,Mid-Western,Secondary  Boys,65.1
Dailekh,Bheri,Hill,Mid-Western,Higher secondary Girls,7.1
Dailekh,Bheri,Hill,Mid-Western,Higher secondary Boys,10.0
Dailekh,Bheri,Hill,Mid-Western,Secondary Girls,31.0
Dailekh,Bheri,Hill,Mid-Western,Secondary Boys,39.0
Dang,Rapti,Terai,Mid-Western,Primary Girls,95.6
Dang,Rapti,Terai,Mid-Western,Primary Boys,97.8
Dang,Rapti,Terai,Mid-Western,Lower secondary Girls,79.1
Dang,Rapti,Terai,Mid-Western,Lower secondary Boys,72.8
Dang,Rapti,Terai,Mid-Western,Basic Girls,90.0
Dang,Rapti,Terai,Mid-Western,Basic Boys,89.2
Dang,Rapti,Terai,Mid-Western,Secondary  Girls,54.0
Dang,Rapti,Terai,Mid-Western,Secondary  Boys,49.7
Dang,Rapti,Terai,Mid-Western,Higher secondary Girls,11.9
Dang,Rapti,Terai,Mid-Western,Higher secondary Boys,10.5
Dang,Rapti,Terai,Mid-Western,Secondary Girls,32.3
Dang,Rapti,Terai,Mid-Western,Secondary Boys,30.9
Darchaula,Mahakali,Mountain,Far-Western,Primary Girls,96.9
Darchaula,Mahakali,Mountain,Far-Western,Primary Boys,97.8
Darchaula,Mahakali,Mountain,Far-Western,Lower secondary Girls,68.3
Darchaula,Mahakali,Mountain,Far-Western,Lower secondary Boys,71.9
Darchaula,Mahakali,Mountain,Far-Western,Basic Girls,87.4
Darchaula,Mahakali,Mountain,Far-Western,Basic Boys,89.4
Darchaula,Mahakali,Mountain,Far-Western,Secondary  Girls,59.6
Darchaula,Mahakali,Mountain,Far-Western,Secondary  Boys,69.2
Darchaula,Mahakali,Mountain,Far-Western,Higher secondary Girls,17.6
Darchaula,Mahakali,Mountain,Far-Western,Higher secondary Boys,22.7
Darchaula,Mahakali,Mountain,Far-Western,Secondary Girls,38.3
Darchaula,Mahakali,Mountain,Far-Western,Secondary Boys,46.2
Dhading,Bagmati,Hill,Central,Primary Girls,97.1
Dhading,Bagmati,Hill,Central,Primary Boys,97.7
Dhading,Bagmati,Hill,Central,Lower secondary Girls,69.2
Dhading,Bagmati,Hill,Central,Lower secondary Boys,74.8
Dhading,Bagmati,Hill,Central,Basic Girls,87.3
Dhading,Bagmati,Hill,Central,Basic Boys,89.3
Dhading,Bagmati,Hill,Central,Secondary  Girls,48.3
Dhading,Bagmati,Hill,Central,Secondary  Boys,47.0
Dhading,Bagmati,Hill,Central,Higher secondary Girls,9.2
Dhading,Bagmati,Hill,Central,Higher secondary Boys,7.6
Dhading,Bagmati,Hill,Central,Secondary Girls,28.6
Dhading,Bagmati,Hill,Central,Secondary Boys,27.6
Dhankuta,Kosi,Hill,Eastern,Primary Girls,96.7
Dhankuta,Kosi,Hill,Eastern,Primary Boys,97.5
Dhankuta,Kosi,Hill,Eastern,Lower secondary Girls,81.5
Dhankuta,Kosi,Hill,Eastern,Lower secondary Boys,84.8
Dhankuta,Kosi,Hill,Eastern,Basic Girls,91.1
Dhankuta,Kosi,Hill,Eastern,Basic Boys,92.9
Dhankuta,Kosi,Hill,Eastern,Secondary  Girls,57.4
Dhankuta,Kosi,Hill,Eastern,Secondary  Boys,52.2
Dhankuta,Kosi,Hill,Eastern,Higher secondary Girls,8.6
Dhankuta,Kosi,Hill,Eastern,Higher secondary Boys,5.9
Dhankuta,Kosi,Hill,Eastern,Secondary Girls,33.4
Dhankuta,Kosi,Hill,Eastern,Secondary Boys,29.5
Dhanusa,Janakpur,Terai,Central,Primary Girls,88.7
Dhanusa,Janakpur,Terai,Central,Primary Boys,90.9
Dhanusa,Janakpur,Terai,Central,Lower secondary Girls,43.3
Dhanusa,Janakpur,Terai,Central,Lower secondary Boys,50.5
Dhanusa,Janakpur,Terai,Central,Basic Girls,75.1
Dhanusa,Janakpur,Terai,Central,Basic Boys,78.1
Dhanusa,Janakpur,Terai,Central,Secondary  Girls,38.3
Dhanusa,Janakpur,Terai,Central,Secondary  Boys,41.4
Dhanusa,Janakpur,Terai,Central,Higher secondary Girls,1.7
Dhanusa,Janakpur,Terai,Central,Higher secondary Boys,1.3
Dhanusa,Janakpur,Terai,Central,Secondary Girls,20.2
Dhanusa,Janakpur,Terai,Central,Secondary Boys,20.2
Dolakha,Janakpur,Mountain,Central,Primary Girls,97.5
Dolakha,Janakpur,Mountain,Central,Primary Boys,98.3
Dolakha,Janakpur,Mountain,Central,Lower secondary Girls,75.5
Dolakha,Janakpur,Mountain,Central,Lower secondary Boys,74.8
Dolakha,Janakpur,Mountain,Central,Basic Girls,89.3
Dolakha,Janakpur,Mountain,Central,Basic Boys,88.8
Dolakha,Janakpur,Mountain,Central,Secondary  Girls,63.3
Dolakha,Janakpur,Mountain,Central,Secondary  Boys,56.0
Dolakha,Janakpur,Mountain,Central,Higher secondary Girls,8.7
Dolakha,Janakpur,Mountain,Central,Higher secondary Boys,5.6
Dolakha,Janakpur,Mountain,Central,Secondary Girls,36.6
Dolakha,Janakpur,Mountain,Central,Secondary Boys,31.2
Dolpa,Karnali,Mountain,Mid-Western,Primary Girls,97.3
Dolpa,Karnali,Mountain,Mid-Western,Primary Boys,97.0
Dolpa,Karnali,Mountain,Mid-Western,Lower secondary Girls,55.1
Dolpa,Karnali,Mountain,Mid-Western,Lower secondary Boys,65.9
Dolpa,Karnali,Mountain,Mid-Western,Basic Girls,83.1
Dolpa,Karnali,Mountain,Mid-Western,Basic Boys,86.5
Dolpa,Karnali,Mountain,Mid-Western,Secondary  Girls,37.6
Dolpa,Karnali,Mountain,Mid-Western,Secondary  Boys,60.4
Dolpa,Karnali,Mountain,Mid-Western,Higher secondary Girls,6.3
Dolpa,Karnali,Mountain,Mid-Western,Higher secondary Boys,13.3
Dolpa,Karnali,Mountain,Mid-Western,Secondary Girls,22.0
Dolpa,Karnali,Mountain,Mid-Western,Secondary Boys,37.0
Doti,Seti,Hill,Far-Western,Primary Girls,95.2
Doti,Seti,Hill,Far-Western,Primary Boys,96.2
Doti,Seti,Hill,Far-Western,Lower secondary Girls,58.7
Doti,Seti,Hill,Far-Western,Lower secondary Boys,68.0
Doti,Seti,Hill,Far-Western,Basic Girls,83.0
Doti,Seti,Hill,Far-Western,Basic Boys,85.5
Doti,Seti,Hill,Far-Western,Secondary  Girls,33.8
Doti,Seti,Hill,Far-Western,Secondary  Boys,42.8
Doti,Seti,Hill,Far-Western,Higher secondary Girls,8.8
Doti,Seti,Hill,Far-Western,Higher secondary Boys,11.9
Doti,Seti,Hill,Far-Western,Secondary Girls,21.3
Doti,Seti,Hill,Far-Western,Secondary Boys,27.1
Gorkha,Gandaki,Hill,Western,Primary Girls,96.8
Gorkha,Gandaki,Hill,Western,Primary Boys,98.1
Gorkha,Gandaki,Hill,Western,Lower secondary Girls,73.4
Gorkha,Gandaki,Hill,Western,Lower secondary Boys,76.2
Gorkha,Gandaki,Hill,Western,Basic Girls,88.5
Gorkha,Gandaki,Hill,Western,Basic Boys,89.5
Gorkha,Gandaki,Hill,Western,Secondary  Girls,57.8
Gorkha,Gandaki,Hill,Western,Secondary  Boys,57.6
Gorkha,Gandaki,Hill,Western,Higher secondary Girls,5.0
Gorkha,Gandaki,Hill,Western,Higher secondary Boys,3.8
Gorkha,Gandaki,Hill,Western,Secondary Girls,31.4
Gorkha,Gandaki,Hill,Western,Secondary Boys,32.5
Gulmi,Lumbini,Hill,Western,Primary Girls,96.2
Gulmi,Lumbini,Hill,Western,Primary Boys,98.9
Gulmi,Lumbini,Hill,Western,Lower secondary Girls,89.6
Gulmi,Lumbini,Hill,Western,Lower secondary Boys,77.0
Gulmi,Lumbini,Hill,Western,Basic Girls,94.1
Gulmi,Lumbini,Hill,Western,Basic Boys,91.5
Gulmi,Lumbini,Hill,Western,Secondary  Girls,62.1
Gulmi,Lumbini,Hill,Western,Secondary  Boys,51.6
Gulmi,Lumbini,Hill,Western,Higher secondary Girls,11.0
Gulmi,Lumbini,Hill,Western,Higher secondary Boys,11.9
Gulmi,Lumbini,Hill,Western,Secondary Girls,37.0
Gulmi,Lumbini,Hill,Western,Secondary Boys,34.5
Humla,Karnali,Mountain,Mid-Western,Primary Girls,95.7
Humla,Karnali,Mountain,Mid-Western,Primary Boys,97.6
Humla,Karnali,Mountain,Mid-Western,Lower secondary Girls,57.7
Humla,Karnali,Mountain,Mid-Western,Lower secondary Boys,61.6
Humla,Karnali,Mountain,Mid-Western,Basic Girls,84.9
Humla,Karnali,Mountain,Mid-Western,Basic Boys,87.3
Humla,Karnali,Mountain,Mid-Western,Secondary  Girls,34.6
Humla,Karnali,Mountain,Mid-Western,Secondary  Boys,59.4
Humla,Karnali,Mountain,Mid-Western,Higher secondary Girls,11.4
Humla,Karnali,Mountain,Mid-Western,Higher secondary Boys,13.8
Humla,Karnali,Mountain,Mid-Western,Secondary Girls,23.1
