Districts,Zone,Geographical Region,Development Region,Level,Enrollment Rate
Palpa,Lumbini,Hill,Western,Secondary Boys,38.3
Panchthar,Mechi,Hill,Eastern,Primary Girls,96.5
Panchthar,Mechi,Hill,Eastern,Primary Boys,95.3
Panchthar,Mechi,Hill,Eastern,Lower secondary Girls,76.9
Panchthar,Mechi,Hill,Eastern,Lower secondary Boys,85.6
Panchthar,Mechi,Hill,Eastern,Basic Girls,89.7
Panchthar,Mechi,Hill,Eastern,Basic Boys,91.7
Panchthar,Mechi,Hill,Eastern,Secondary  Girls,66.6
Panchthar,Mechi,Hill,Eastern,Secondary  Boys,57.4
Panchthar,Mechi,Hill,Eastern,Higher secondary Girls,10.3
Panchthar,Mechi,Hill,Eastern,Higher secondary Boys,6.3
Panchthar,Mechi,Hill,Eastern,Secondary Girls,38.7
Panchthar,Mechi,Hill,Eastern,Secondary Boys,32.1
Parbat,Dhawalagiri,Hill,Western,Primary Girls,96.5
Parbat,Dhawalagiri,Hill,Western,Primary Boys,90.4
Parbat,Dhawalagiri,Hill,Western,Lower secondary Girls,93.3
Parbat,Dhawalagiri,Hill,Western,Lower secondary Boys,81.8
Parbat,Dhawalagiri,Hill,Western,Basic Girls,95.4
Parbat,Dhawalagiri,Hill,Western,Basic Boys,87.0
Parbat,Dhawalagiri,Hill,Western,Secondary  Girls,72.8
Parbat,Dhawalagiri,Hill,Western,Secondary  Boys,66.0
Parbat,Dhawalagiri,Hill,Western,Higher secondary Girls,19.1
Parbat,Dhawalagiri,Hill,Western,Higher secondary Boys,17.9
Parbat,Dhawalagiri,Hill,Western,Secondary Girls,45.7
Parbat,Dhawalagiri,Hill,Western,Secondary Boys,43.5
Parsa,Narayani,Terai,Central,Primary Girls,92.8
Parsa,Narayani,Terai,Central,Primary Boys,95.7
Parsa,Narayani,Terai,Central,Lower secondary Girls,46.4
Parsa,Narayani,Terai,Central,Lower secondary Boys,59.4
Parsa,Narayani,Terai,Central,Basic Girls,78.3
Parsa,Narayani,Terai,Central,Basic Boys,83.8
Parsa,Narayani,Terai,Central,Secondary  Girls,28.9
Parsa,Narayani,Terai,Central,Secondary  Boys,38.7
Parsa,Narayani,Terai,Central,Higher secondary Girls,2.2
Parsa,Narayani,Terai,Central,Higher secondary Boys,2.9
Parsa,Narayani,Terai,Central,Secondary Girls,15.7
Parsa,Narayani,Terai,Central,Secondary Boys,20.3
Pyuthan,Rapti,Hill,Mid-Western,Primary Girls,95.5
Pyuthan,Rapti,Hill,Mid-Western,Primary Boys,93.8
Pyuthan,Rapti,Hill,Mid-Western,Lower secondary Girls,80.4
Pyuthan,Rapti,Hill,Mid-Western,Lower secondary Boys,73.6
Pyuthan,Rapti,Hill,Mid-Western,Basic Girls,91.0
Pyuthan,Rapti,Hill,Mid-Western,Basic Boys,87.0
Pyuthan,Rapti,Hill,Mid-Western,Secondary  Girls,36.3
Pyuthan,Rapti,Hill,Mid-Western,Secondary  Boys,34.2
Pyuthan,Rapti,Hill,Mid-Western,Higher secondary Girls,8.5
Pyuthan,Rapti,Hill,Mid-Western,Higher secondary Boys,8.1
Pyuthan,Rapti,Hill,Mid-Western,Secondary Girls,21.8
Pyuthan,Rapti,Hill,Mid-Western,Secondary Boys,22.7
Ramechhap,Janakpur,Hill,Central,Primary Girls,96.4
Ramechhap,Janakpur,Hill,Central,Primary Boys,93.4
Ramechhap,Janakpur,Hill,Central,Lower secondary Girls,84.8
Ramechhap,Janakpur,Hill,Central,Lower secondary Boys,72.0
Ramechhap,Janakpur,Hill,Central,Basic Girls,92.5
Ramechhap,Janakpur,Hill,Central,Basic Boys,85.7
Ramechhap,Janakpur,Hill,Central,Secondary  Girls,57.4
Ramechhap,Janakpur,Hill,Central,Secondary  Boys,62.6
Ramechhap,Janakpur,Hill,Central,Higher secondary Girls,9.5
Ramechhap,Janakpur,Hill,Central,Higher secondary Boys,8.5
Ramechhap,Janakpur,Hill,Central,Secondary Girls,33.5
Ramechhap,Janakpur,Hill,Central,Secondary Boys,37.0
Rasuwa,Bagmati,Mountain,Central,Primary Girls,97.0
Rasuwa,Bagmati,Mountain,Central,Primary Boys,97.5
Rasuwa,Bagmati,Mountain,Central,Lower secondary Girls,78.6
Rasuwa,Bagmati,Mountain,Central,Lower secondary Boys,83.0
Rasuwa,Bagmati,Mountain,Central,Basic Girls,91.1
Rasuwa,Bagmati,Mountain,Central,Basic Boys,92.6
Rasuwa,Bagmati,Mountain,Central,Secondary  Girls,49.9
Rasuwa,Bagmati,Mountain,Central,Secondary  Boys,56.5
Rasuwa,Bagmati,Mountain,Central,Higher secondary Girls,10.5
Rasuwa,Bagmati,Mountain,Central,Higher secondary Boys,8.7
Rasuwa,Bagmati,Mountain,Central,Secondary Girls,29.1
Rasuwa,Bagmati,Mountain,Central,Secondary Boys,31.5
Rautahat,Narayani,Terai,Central,Primary Girls,90.7
Rautahat,Narayani,Terai,Central,Primary Boys,94.8
Rautahat,Narayani,Terai,Central,Lower secondary Girls,56.3
Rautahat,Narayani,Terai,Central,Lower secondary Boys,66.1
Rautahat,Narayani,Terai,Central,Basic Girls,79.9
Rautahat,Narayani,Terai,Central,Basic Boys,85.2
Rautahat,Narayani,Terai,Central,Secondary  Girls,37.9
Rautahat,Narayani,Terai,Central,Secondary  Boys,46.4
Rautahat,Narayani,Terai,Central,Higher secondary Girls,10.3
Rautahat,Narayani,Terai,Central,Higher secondary Boys,12.8
Rautahat,Narayani,Terai,Central,Secondary Girls,24.0
Rautahat,Narayani,Terai,Central,Secondary Boys,29.1
Rolpa,Rapti,Hill,Mid-Western,Primary Girls,92.3
Rolpa,Rapti,Hill,Mid-Western,Primary Boys,96.1
Rolpa,Rapti,Hill,Mid-Western,Lower secondary Girls,50.6
Rolpa,Rapti,Hill,Mid-Western,Lower secondary Boys,68.6
Rolpa,Rapti,Hill,Mid-Western,Basic Girls,78.7
Rolpa,Rapti,Hill,Mid-Western,Basic Boys,87.2
Rolpa,Rapti,Hill,Mid-Western,Secondary  Girls,41.6
Rolpa,Rapti,Hill,Mid-Western,Secondary  Boys,47.9
Rolpa,Rapti,Hill,Mid-Western,Higher secondary Girls,5.6
Rolpa,Rapti,Hill,Mid-Western,Higher secondary Boys,5.2
Rolpa,Rapti,Hill,Mid-Western,Secondary Girls,23.3
Rolpa,Rapti,Hill,Mid-Western,Secondary Boys,27.3
Rukum,Rapti,Hill,Mid-Western,Primary Girls,94.9
Rukum,Rapti,Hill,Mid-Western,Primary Boys,96.6
Rukum,Rapti,Hill,Mid-Western,Lower secondary Girls,73.8
Rukum,Rapti,Hill,Mid-Western,Lower secondary Boys,70.0
Rukum,Rapti,Hill,Mid-Western,Basic Girls,88.9
Rukum,Rapti,Hill,Mid-Western,Basic Boys,88.8
Rukum,Rapti,Hill,Mid-Western,Secondary  Girls,60.0
Rukum,Rapti,Hill,Mid-Western,Secondary  Boys,56.3
Rukum,Rapti,Hill,Mid-Western,Higher secondary Girls,7.2
Rukum,Rapti,Hill,Mid-Western,Higher secondary Boys,6.8
Rukum,Rapti,Hill,Mid-Western,Secondary Girls,33.1
Rukum,Rapti,Hill,Mid-Western,Secondary Boys,31.2
Rupandehi,Lumbini,Terai,Western,Primary Girls,91.2
Rupandehi,Lumbini,Terai,Western,Primary Boys,94.9
Rupandehi,Lumbini,Terai,Western,Lower secondary Girls,71.1
Rupandehi,Lumbini,Terai,Western,Lower secondary Boys,72.2
Rupandehi,Lumbini,Terai,Western,Basic Girls,84.4
Rupandehi,Lumbini,Terai,Western,Basic Boys,87.3
Rupandehi,Lumbini,Terai,Western,Secondary  Girls,48.0
Rupandehi,Lumbini,Terai,Western,Secondary  Boys,51.9
Rupandehi,Lumbini,Terai,Western,Higher secondary Girls,10.2
Rupandehi,Lumbini,Terai,Western,Higher secondary Boys,11.2
Rupandehi,Lumbini,Terai,Western,Secondary Girls,29.1
Rupandehi,Lumbini,Terai,Western,Secondary Boys,31.2
Salyan,Rapti,Hill,Mid-Western,Primary Girls,94.3
Salyan,Rapti,Hill,Mid-Western,Primary Boys,97.2
Salyan,Rapti,Hill,Mid-Western,Lower secondary Girls,75.0
Salyan,Rapti,Hill,Mid-Western,Lower secondary Boys,80.8
Salyan,Rapti,Hill,Mid-Western,Basic Girls,88.0
Salyan,Rapti,Hill,Mid-Western,Basic Boys,91.8
Salyan,Rapti,Hill,Mid-Western,Secondary  Girls,52.3
Salyan,Rapti,Hill,Mid-Western,Secondary  Boys,58.4
Salyan,Rapti,Hill,Mid-Western,Higher secondary Girls,8.7
Salyan,Rapti,Hill,Mid-Western,Higher secondary Boys,12.2
Salyan,Rapti,Hill,Mid-Western,Secondary Girls,30.0
Salyan,Rapti,Hill,Mid-Western,Secondary Boys,35.4
Sankhuwasabha,Kosi,Mountain,Eastern,Primary Girls,93.6
Sankhuwasabha,Kosi,Mountain,Eastern,Primary Boys,95.7
Sankhuwasabha,Kosi,Mountain,Eastern,Lower secondary Girls,69.9
Sankhuwasabha,Kosi,Mountain,Eastern,Lower secondary Boys,73.6
Sankhuwasabha,Kosi,Mountain,Eastern,Basic Girls,85.1
Sankhuwasabha,Kosi,Mountain,Eastern,Basic Boys,88.0
Sankhuwasabha,Kosi,Mountain,Eastern,Secondary  Girls,56.2
Sankhuwasabha,Kosi,Mountain,Eastern,Secondary  Boys,55.7
Sankhuwasabha,Kosi,Mountain,Eastern,Higher secondary Girls,10.5
Sankhuwasabha,Kosi,Mountain,Eastern,Higher secondary Boys,9.6
Sankhuwasabha,Kosi,Mountain,Eastern,Secondary Girls,34.2
Sankhuwasabha,Kosi,Mountain,Eastern,Secondary Boys,33.7
Saptari,Sagarmatha,Terai,Eastern,Primary Girls,82.3
Saptari,Sagarmatha,Terai,Eastern,Primary Boys,88.6
Saptari,Sagarmatha,Terai,Eastern,Lower secondary Girls,63.5
Saptari,Sagarmatha,Terai,Eastern,Lower secondary Boys,62.8
Saptari,Sagarmatha,Terai,Eastern,Basic Girls,76.2
Saptari,Sagarmatha,Terai,Eastern,Basic Boys,80.0
Saptari,Sagarmatha,Terai,Eastern,Secondary  Girls,43.4
Saptari,Sagarmatha,Terai,Eastern,Secondary  Boys,45.0
Saptari,Sagarmatha,Terai,Eastern,Higher secondary Girls,7.7
Saptari,Sagarmatha,Terai,Eastern,Higher secondary Boys,5.7
Saptari,Sagarmatha,Terai,Eastern,Secondary Girls,25.3
Saptari,Sagarmatha,Terai,Eastern,Secondary Boys,24.8
Sarlahi,Janakpur,Terai,Central,Primary Girls,90.8
Sarlahi,Janakpur,Terai,Central,Primary Boys,94.8
Sarlahi,Janakpur,Terai,Central,Lower secondary Girls,44.4
Sarlahi,Janakpur,Terai,Central,Lower secondary Boys,47.9
Sarlahi,Janakpur,Terai,Central,Basic Girls,76.9
Sarlahi,Janakpur,Terai,Central,Basic Boys,79.8
Sarlahi,Janakpur,Terai,Central,Secondary  Girls,34.3
Sarlahi,Janakpur,Terai,Central,Secondary  Boys,38.4
Sarlahi,Janakpur,Terai,Central,Higher secondary Girls,7.2
Sarlahi,Janakpur,Terai,Central,Higher secondary Boys,5.7
Sarlahi,Janakpur,Terai,Central,Secondary Girls,20.8
Sarlahi,Janakpur,Terai,Central,Secondary Boys,21.5
Sindhuli,Janakpur,Hill,Central,Primary Girls,97.5
Sindhuli,Janakpur,Hill,Central,Primary Boys,96.7
Sindhuli,Janakpur,Hill,Central,Lower secondary Girls,69.9
Sindhuli,Janakpur,Hill,Central,Lower secondary Boys,69.0
Sindhuli,Janakpur,Hill,Central,Basic Girls,88.2
Sindhuli,Janakpur,Hill,Central,Basic Boys,87.3
Sindhuli,Janakpur,Hill,Central,Secondary  Girls,48.1
Sindhuli,Janakpur,Hill,Central,Secondary  Boys,53.4
Sindhuli,Janakpur,Hill,Central,Higher secondary Girls,15.3
Sindhuli,Janakpur,Hill,Central,Higher secondary Boys,14.9
Sindhuli,Janakpur,Hill,Central,Secondary Girls,32.1
Sindhuli,Janakpur,Hill,Central,Secondary Boys,35.2
Sindhupalchok,Bagmati,Mountain,Central,Primary Girls,92.5
Sindhupalchok,Bagmati,Mountain,Central,Primary Boys,93.6
Sindhupalchok,Bagmati,Mountain,Central,Lower secondary Girls,56.2
Sindhupalchok,Bagmati,Mountain,Central,Lower secondary Boys,68.0
Sindhupalchok,Bagmati,Mountain,Central,Basic Girls,79.9
Sindhupalchok,Bagmati,Mountain,Central,Basic Boys,85.1
Sindhupalchok,Bagmati,Mountain,Central,Secondary  Girls,51.5
Sindhupalchok,Bagmati,Mountain,Central,Secondary  Boys,53.3
Sindhupalchok,Bagmati,Mountain,Central,Higher secondary Girls,11.6
Sindhupalchok,Bagmati,Mountain,Central,Higher secondary Boys,9.4
Sindhupalchok,Bagmati,Mountain,Central,Secondary Girls,31.5
Sindhupalchok,Bagmati,Mountain,Central,Secondary Boys,31.7
Siraha,Sagarmatha,Terai,Eastern,Primary Girls,91.7
Siraha,Sagarmatha,Terai,Eastern,Primary Boys,92.7
Siraha,Sagarmatha,Terai,Eastern,Lower secondary Girls,54.2
Siraha,Sagarmatha,Terai,Eastern,Lower secondary Boys,59.9
Siraha,Sagarmatha,Terai,Eastern,Basic Girls,79.6
Siraha,Sagarmatha,Terai,Eastern,Basic Boys,81.7
Siraha,Sagarmatha,Terai,Eastern,Secondary  Girls,37.9
Siraha,Sagarmatha,Terai,Eastern,Secondary  Boys,46.0
Siraha,Sagarmatha,Terai,Eastern,Higher secondary Girls,6.9
Siraha,Sagarmatha,Terai,Eastern,Higher secondary Boys,7.5
Siraha,Sagarmatha,Terai,Eastern,Secondary Girls,22.5
Siraha,Sagarmatha,Terai,Eastern,Secondary Boys,26.4
Solukhumbu,Sagarmatha,Mountain,Eastern,Primary Girls,91.1
Solukhumbu,Sagarmatha,Mountain,Eastern,Primary Boys,96.3
Solukhumbu,Sagarmatha,Mountain,Eastern,Lower secondary Girls,71.4
Solukhumbu,Sagarmatha,Mountain,Eastern,Lower secondary Boys,82.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Basic Girls,84.2
Solukhumbu,Sagarmatha,Mountain,Eastern,Basic Boys,91.5
Solukhumbu,Sagarmatha,Mountain,Eastern,Secondary  Girls,54.1
Solukhumbu,Sagarmatha,Mountain,Eastern,Secondary  Boys,51.1
Solukhumbu,Sagarmatha,Mountain,Eastern,Higher secondary Girls,11.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Higher secondary Boys,8.5
Solukhumbu,Sagarmatha,Mountain,Eastern,Secondary Girls,33.1
Solukhumbu,Sagarmatha,Mountain,Eastern,Secondary Boys,30.6
Sunsari,Kosi,Terai,Eastern,Primary Girls,95.8
Sunsari,Kosi,Terai,Eastern,Primary Boys,95.2
Sunsari,Kosi,Terai,Eastern,Lower secondary Girls,75.3
Sunsari,Kosi,Terai,Eastern,Lower secondary Boys,70.1
Sunsari,Kosi,Terai,Eastern,Basic Girls,88.7
Sunsari,Kosi,Terai,Eastern,Basic Boys,86.6
Sunsari,Kosi,Terai,Eastern,Secondary  Girls,59.4
Sunsari,Kosi,Terai,Eastern,Secondary  Boys,59.6
Sunsari,Kosi,Terai,Eastern,Higher secondary Girls,9.9
Sunsari,Kosi,Terai,Eastern,Higher secondary Boys,8.8
Sunsari,Kosi,Terai,Eastern,Secondary Girls,34.2
Sunsari,Kosi,Terai,Eastern,Secondary Boys,33.6
Surkhet,Bheri,Hill,Mid-Western,Primary Girls,96.9
Surkhet,Bheri,Hill,Mid-Western,Primary Boys,97.4
Surkhet,Bheri,Hill,Mid-Western,Lower secondary Girls,91.8
Surkhet,Bheri,Hill,Mid-Western,Lower secondary Boys,73.6
Surkhet,Bheri,Hill,Mid-Western,Basic Girls,95.1
Surkhet,Bheri,Hill,Mid-Western,Basic Boys,89.0
Surkhet,Bheri,Hill,Mid-Western,Secondary  Girls,61.2
Surkhet,Bheri,Hill,Mid-Western,Secondary  Boys,62.4
Surkhet,Bheri,Hill,Mid-Western,Higher secondary Girls,12.4
Surkhet,Bheri,Hill,Mid-Western,Higher secondary Boys,17.4
Surkhet,Bheri,Hill,Mid-Western,Secondary Girls,36.9
Surkhet,Bheri,Hill,Mid-Western,Secondary Boys,40.8
Syangja,Gandaki,Hill,Western,Primary Girls,95.2
Syangja,Gandaki,Hill,Western,Primary Boys,91.0
Syangja,Gandaki,Hill,Western,Lower secondary Girls,84.5
Syangja,Gandaki,Hill,Western,Lower secondary Boys,93.4
Syangja,Gandaki,Hill,Western,Basic Girls,91.0
Syangja,Gandaki,Hill,Western,Basic Boys,91.9
Syangja,Gandaki,Hill,Western,Secondary  Girls,78.3
Syangja,Gandaki,Hill,Western,Secondary  Boys,71.1
Syangja,Gandaki,Hill,Western,Higher secondary Girls,21.4
Syangja,Gandaki,Hill,Western,Higher secondary Boys,19.1
Syangja,Gandaki,Hill,Western,Secondary Girls,49.8
Syangja,Gandaki,Hill,Western,Secondary Boys,46.9
Tanahu,Gandaki,Hill,Western,Primary Girls,96.1
Tanahu,Gandaki,Hill,Western,Primary Boys,97.2
Tanahu,Gandaki,Hill,Western,Lower secondary Girls,86.8
Tanahu,Gandaki,Hill,Western,Lower secondary Boys,75.1
Tanahu,Gandaki,Hill,Western,Basic Girls,92.8
Tanahu,Gandaki,Hill,Western,Basic Boys,89.6
Tanahu,Gandaki,Hill,Western,Secondary  Girls,73.6
Tanahu,Gandaki,Hill,Western,Secondary  Boys,63.2
Tanahu,Gandaki,Hill,Western,Higher secondary Girls,10.7
Tanahu,Gandaki,Hill,Western,Higher secondary Boys,8.8
Tanahu,Gandaki,Hill,Western,Secondary Girls,43.5
Tanahu,Gandaki,Hill,Western,Secondary Boys,38.4
Taplejung,Mechi,Mountain,Eastern,Primary Girls,95.9
Taplejung,Mechi,Mountain,Eastern,Primary Boys,96.7
Taplejung,Mechi,Mountain,Eastern,Lower secondary Girls,79.7
Taplejung,Mechi,Mountain,Eastern,Lower secondary Boys,76.9
Taplejung,Mechi,Mountain,Eastern,Basic Girls,90.1
Taplejung,Mechi,Mountain,Eastern,Basic Boys,89.5
Taplejung,Mechi,Mountain,Eastern,Secondary  Girls,59.8
Taplejung,Mechi,Mountain,Eastern,Secondary  Boys,62.8
Taplejung,Mechi,Mountain,Eastern,Higher secondary Girls,18.3
Taplejung,Mechi,Mountain,Eastern,Higher secondary Boys,14.7
Taplejung,Mechi,Mountain,Eastern,Secondary Girls,39.5
Taplejung,Mechi,Mountain,Eastern,Secondary Boys,39.1
Terhathum,Kosi,Hill,Eastern,Primary Girls,95.7
Terhathum,Kosi,Hill,Eastern,Primary Boys,97.2
Terhathum,Kosi,Hill,Eastern,Lower secondary Girls,86.9
Terhathum,Kosi,Hill,Eastern,Lower secondary Boys,86.3
Terhathum,Kosi,Hill,Eastern,Basic Girls,92.3
Terhathum,Kosi,Hill,Eastern,Basic Boys,92.9
Terhathum,Kosi,Hill,Eastern,Secondary  Girls,65.8
Terhathum,Kosi,Hill,Eastern,Secondary  Boys,68.3
Terhathum,Kosi,Hill,Eastern,Higher secondary Girls,16.6
Terhathum,Kosi,Hill,Eastern,Higher secondary Boys,13.2
Terhathum,Kosi,Hill,Eastern,Secondary Girls,41.4
Terhathum,Kosi,Hill,Eastern,Secondary Boys,40.6
Udayapur,Sagarmatha,Hill,Eastern,Primary Girls,95.4
Udayapur,Sagarmatha,Hill,Eastern,Primary Boys,96.4
Udayapur,Sagarmatha,Hill,Eastern,Lower secondary Girls,91.8
Udayapur,Sagarmatha,Hill,Eastern,Lower secondary Boys,87.8
Udayapur,Sagarmatha,Hill,Eastern,Basic Girls,94.2
Udayapur,Sagarmatha,Hill,Eastern,Basic Boys,93.5
Udayapur,Sagarmatha,Hill,Eastern,Secondary  Girls,66.0
Udayapur,Sagarmatha,Hill,Eastern,Secondary  Boys,65.0
Udayapur,Sagarmatha,Hill,Eastern,Higher secondary Girls,18.6
Udayapur,Sagarmatha,Hill,Eastern,Higher secondary Boys,12.5
Udayapur,Sagarmatha,Hill,Eastern,Secondary Girls,42.7
Udayapur,Sagarmatha,Hill,Eastern,Secondary Boys,39.5
