District,Zone,Geographical Region,Development Region,Grade ,Girls/Boys,Number
Achham,Seti,Hill,Far-Western,Grade 11,Girls,685
Achham,Seti,Hill,Far-Western,Grade 11,Boys,1169
Achham,Seti,Hill,Far-Western,Grade 12,Girls,561
Achham,Seti,Hill,Far-Western,Grade 12,Boys,1120
Achham,Seti,Hill,Far-Western,Grade 11-12,Girls,1246
Achham,Seti,Hill,Far-Western,Grade 11-12,Boys,2289
Arghakhanchi,Lumbini,Hill,Western,Grade 11,Girls,723
Arghakhanchi,Lumbini,Hill,Western,Grade 11,Boys,512
Arghakhanchi,Lumbini,Hill,Western,Grade 12,Girls,866
Arghakhanchi,Lumbini,Hill,Western,Grade 12,Boys,470
Arghakhanchi,Lumbini,Hill,Western,Grade 11-12,Girls,1589
Arghakhanchi,Lumbini,Hill,Western,Grade 11-12,Boys,982
Baglung,Dhawalagiri,Hill,Western,Grade 11,Girls,2171
Baglung,Dhawalagiri,Hill,Western,Grade 11,Boys,1536
Baglung,Dhawalagiri,Hill,Western,Grade 12,Girls,1959
Baglung,Dhawalagiri,Hill,Western,Grade 12,Boys,1304
Baglung,Dhawalagiri,Hill,Western,Grade 11-12,Girls,4130
Baglung,Dhawalagiri,Hill,Western,Grade 11-12,Boys,2840
Baitadi,Mahakali,Hill,Far-Western,Grade 11,Girls,1047
Baitadi,Mahakali,Hill,Far-Western,Grade 11,Boys,1697
Baitadi,Mahakali,Hill,Far-Western,Grade 12,Girls,962
Baitadi,Mahakali,Hill,Far-Western,Grade 12,Boys,1390
Baitadi,Mahakali,Hill,Far-Western,Grade 11-12,Girls,2009
Baitadi,Mahakali,Hill,Far-Western,Grade 11-12,Boys,3087
Bajhang,Seti,Mountain,Far-Western,Grade 11,Girls,589
Bajhang,Seti,Mountain,Far-Western,Grade 11,Boys,978
Bajhang,Seti,Mountain,Far-Western,Grade 12,Girls,459
Bajhang,Seti,Mountain,Far-Western,Grade 12,Boys,948
Bajhang,Seti,Mountain,Far-Western,Grade 11-12,Girls,1048
Bajhang,Seti,Mountain,Far-Western,Grade 11-12,Boys,1926
Bajura,Seti,Mountain,Far-Western,Grade 11,Girls,393
Bajura,Seti,Mountain,Far-Western,Grade 11,Boys,773
Bajura,Seti,Mountain,Far-Western,Grade 12,Girls,316
Bajura,Seti,Mountain,Far-Western,Grade 12,Boys,810
Bajura,Seti,Mountain,Far-Western,Grade 11-12,Girls,709
Bajura,Seti,Mountain,Far-Western,Grade 11-12,Boys,1583
Banke,Bheri,Terai,Mid-Western,Grade 11,Girls,1670
Banke,Bheri,Terai,Mid-Western,Grade 11,Boys,2153
Banke,Bheri,Terai,Mid-Western,Grade 12,Girls,1368
Banke,Bheri,Terai,Mid-Western,Grade 12,Boys,1532
Banke,Bheri,Terai,Mid-Western,Grade 11-12,Girls,3038
Banke,Bheri,Terai,Mid-Western,Grade 11-12,Boys,3685
Bara,Narayani,Terai,Central,Grade 11,Girls,989
Bara,Narayani,Terai,Central,Grade 11,Boys,1309
Bara,Narayani,Terai,Central,Grade 12,Girls,879
Bara,Narayani,Terai,Central,Grade 12,Boys,909
Bara,Narayani,Terai,Central,Grade 11-12,Girls,1868
Bara,Narayani,Terai,Central,Grade 11-12,Boys,2218
Bardiya,Bheri,Terai,Mid-Western,Grade 11,Girls,1425
Bardiya,Bheri,Terai,Mid-Western,Grade 11,Boys,1472
Bardiya,Bheri,Terai,Mid-Western,Grade 12,Girls,2074
Bardiya,Bheri,Terai,Mid-Western,Grade 12,Boys,1837
Bardiya,Bheri,Terai,Mid-Western,Grade 11-12,Girls,3499
Bardiya,Bheri,Terai,Mid-Western,Grade 11-12,Boys,3309
Bhaktapur,Bagmati,Hill,Central,Grade 11,Girls,1189
Bhaktapur,Bagmati,Hill,Central,Grade 11,Boys,1107
Bhaktapur,Bagmati,Hill,Central,Grade 12,Girls,1131
Bhaktapur,Bagmati,Hill,Central,Grade 12,Boys,962
Bhaktapur,Bagmati,Hill,Central,Grade 11-12,Girls,2320
Bhaktapur,Bagmati,Hill,Central,Grade 11-12,Boys,2069
Bhojpur,Kosi,Hill,Eastern,Grade 11,Girls,714
Bhojpur,Kosi,Hill,Eastern,Grade 11,Boys,508
Bhojpur,Kosi,Hill,Eastern,Grade 12,Girls,718
Bhojpur,Kosi,Hill,Eastern,Grade 12,Boys,563
Bhojpur,Kosi,Hill,Eastern,Grade 11-12,Girls,1432
Bhojpur,Kosi,Hill,Eastern,Grade 11-12,Boys,1071
Chitawan,Narayani,Terai,Central,Grade 11,Girls,2383
Chitawan,Narayani,Terai,Central,Grade 11,Boys,2066
Chitawan,Narayani,Terai,Central,Grade 12,Girls,2074
Chitawan,Narayani,Terai,Central,Grade 12,Boys,1586
Chitawan,Narayani,Terai,Central,Grade 11-12,Girls,4457
Chitawan,Narayani,Terai,Central,Grade 11-12,Boys,3652
Dadeldhura,Mahakali,Hill,Far-Western,Grade 11,Girls,443
Dadeldhura,Mahakali,Hill,Far-Western,Grade 11,Boys,537
Dadeldhura,Mahakali,Hill,Far-Western,Grade 12,Girls,394
Dadeldhura,Mahakali,Hill,Far-Western,Grade 12,Boys,522
Dadeldhura,Mahakali,Hill,Far-Western,Grade 11-12,Girls,837
Dadeldhura,Mahakali,Hill,Far-Western,Grade 11-12,Boys,1059
Dailekh,Bheri,Hill,Mid-Western,Grade 11,Girls,819
Dailekh,Bheri,Hill,Mid-Western,Grade 11,Boys,1204
Dailekh,Bheri,Hill,Mid-Western,Grade 12,Girls,1038
Dailekh,Bheri,Hill,Mid-Western,Grade 12,Boys,1611
Dailekh,Bheri,Hill,Mid-Western,Grade 11-12,Girls,1857
Dailekh,Bheri,Hill,Mid-Western,Grade 11-12,Boys,2815
Dang,Rapti,Terai,Mid-Western,Grade 11,Girls,2400
Dang,Rapti,Terai,Mid-Western,Grade 11,Boys,1963
Dang,Rapti,Terai,Mid-Western,Grade 12,Girls,1795
Dang,Rapti,Terai,Mid-Western,Grade 12,Boys,1667
Dang,Rapti,Terai,Mid-Western,Grade 11-12,Girls,4195
Dang,Rapti,Terai,Mid-Western,Grade 11-12,Boys,3630
Darchaula,Mahakali,Mountain,Far-Western,Grade 11,Girls,703
Darchaula,Mahakali,Mountain,Far-Western,Grade 11,Boys,861
Darchaula,Mahakali,Mountain,Far-Western,Grade 12,Girls,839
Darchaula,Mahakali,Mountain,Far-Western,Grade 12,Boys,1009
Darchaula,Mahakali,Mountain,Far-Western,Grade 11-12,Girls,1542
Darchaula,Mahakali,Mountain,Far-Western,Grade 11-12,Boys,1870
Dhading,Bagmati,Hill,Central,Grade 11,Girls,1925
Dhading,Bagmati,Hill,Central,Grade 11,Boys,1326
Dhading,Bagmati,Hill,Central,Grade 12,Girls,1431
Dhading,Bagmati,Hill,Central,Grade 12,Boys,1103
Dhading,Bagmati,Hill,Central,Grade 11-12,Girls,3356
Dhading,Bagmati,Hill,Central,Grade 11-12,Boys,2429
Dhankuta,Kosi,Hill,Eastern,Grade 11,Girls,1038
Dhankuta,Kosi,Hill,Eastern,Grade 11,Boys,910
Dhankuta,Kosi,Hill,Eastern,Grade 12,Girls,1020
Dhankuta,Kosi,Hill,Eastern,Grade 12,Boys,802
Dhankuta,Kosi,Hill,Eastern,Grade 11-12,Girls,2058
Dhankuta,Kosi,Hill,Eastern,Grade 11-12,Boys,1712
Dhanusa,Janakpur,Terai,Central,Grade 11,Girls,939
Dhanusa,Janakpur,Terai,Central,Grade 11,Boys,932
Dhanusa,Janakpur,Terai,Central,Grade 12,Girls,837
Dhanusa,Janakpur,Terai,Central,Grade 12,Boys,702
Dhanusa,Janakpur,Terai,Central,Grade 11-12,Girls,1776
Dhanusa,Janakpur,Terai,Central,Grade 11-12,Boys,1634
Dolakha,Janakpur,Mountain,Central,Grade 11,Girls,1108
Dolakha,Janakpur,Mountain,Central,Grade 11,Boys,830
Dolakha,Janakpur,Mountain,Central,Grade 12,Girls,1110
Dolakha,Janakpur,Mountain,Central,Grade 12,Boys,889
Dolakha,Janakpur,Mountain,Central,Grade 11-12,Girls,2218
Dolakha,Janakpur,Mountain,Central,Grade 11-12,Boys,1719
Dolpa,Karnali,Mountain,Mid-Western,Grade 11,Girls,64
Dolpa,Karnali,Mountain,Mid-Western,Grade 11,Boys,96
Dolpa,Karnali,Mountain,Mid-Western,Grade 12,Girls,39
Dolpa,Karnali,Mountain,Mid-Western,Grade 12,Boys,77
Dolpa,Karnali,Mountain,Mid-Western,Grade 11-12,Girls,103
Dolpa,Karnali,Mountain,Mid-Western,Grade 11-12,Boys,173
Doti,Seti,Hill,Far-Western,Grade 11,Girls,650
Doti,Seti,Hill,Far-Western,Grade 11,Boys,756
Doti,Seti,Hill,Far-Western,Grade 12,Girls,466
Doti,Seti,Hill,Far-Western,Grade 12,Boys,600
Doti,Seti,Hill,Far-Western,Grade 11-12,Girls,1116
Doti,Seti,Hill,Far-Western,Grade 11-12,Boys,1356
Gorkha,Gandaki,Hill,Western,Grade 11,Girls,1229
Gorkha,Gandaki,Hill,Western,Grade 11,Boys,769
Gorkha,Gandaki,Hill,Western,Grade 12,Girls,860
Gorkha,Gandaki,Hill,Western,Grade 12,Boys,537
Gorkha,Gandaki,Hill,Western,Grade 11-12,Girls,2089
Gorkha,Gandaki,Hill,Western,Grade 11-12,Boys,1306
Gulmi,Lumbini,Hill,Western,Grade 11,Girls,1047
Gulmi,Lumbini,Hill,Western,Grade 11,Boys,948
Gulmi,Lumbini,Hill,Western,Grade 12,Girls,1030
Gulmi,Lumbini,Hill,Western,Grade 12,Boys,804
Gulmi,Lumbini,Hill,Western,Grade 11-12,Girls,2077
Gulmi,Lumbini,Hill,Western,Grade 11-12,Boys,1752
Humla,Karnali,Mountain,Mid-Western,Grade 11,Girls,113
Humla,Karnali,Mountain,Mid-Western,Grade 11,Boys,164
Humla,Karnali,Mountain,Mid-Western,Grade 12,Girls,77
Humla,Karnali,Mountain,Mid-Western,Grade 12,Boys,167
Humla,Karnali,Mountain,Mid-Western,Grade 11-12,Girls,190
Humla,Karnali,Mountain,Mid-Western,Grade 11-12,Boys,331
Ilam,Mechi,Hill,Eastern,Grade 11,Girls,1303
Ilam,Mechi,Hill,Eastern,Grade 11,Boys,1095
Ilam,Mechi,Hill,Eastern,Grade 12,Girls,1614
Ilam,Mechi,Hill,Eastern,Grade 12,Boys,1131
Ilam,Mechi,Hill,Eastern,Grade 11-12,Girls,2917
Ilam,Mechi,Hill,Eastern,Grade 11-12,Boys,2226
Jajarkot,Bheri,Hill,Mid-Western,Grade 11,Girls,499
Jajarkot,Bheri,Hill,Mid-Western,Grade 11,Boys,787
Jajarkot,Bheri,Hill,Mid-Western,Grade 12,Girls,743
Jajarkot,Bheri,Hill,Mid-Western,Grade 12,Boys,1202
Jajarkot,Bheri,Hill,Mid-Western,Grade 11-12,Girls,1242
Jajarkot,Bheri,Hill,Mid-Western,Grade 11-12,Boys,1989
Jhapa,Mechi,Terai,Eastern,Grade 11,Girls,4198
Jhapa,Mechi,Terai,Eastern,Grade 11,Boys,3497
Jhapa,Mechi,Terai,Eastern,Grade 12,Girls,3256
Jhapa,Mechi,Terai,Eastern,Grade 12,Boys,2720
Jhapa,Mechi,Terai,Eastern,Grade 11-12,Girls,7454
Jhapa,Mechi,Terai,Eastern,Grade 11-12,Boys,6217
Jumla,Karnali,Mountain,Mid-Western,Grade 11,Girls,142
Jumla,Karnali,Mountain,Mid-Western,Grade 11,Boys,289
Jumla,Karnali,Mountain,Mid-Western,Grade 12,Girls,226
Jumla,Karnali,Mountain,Mid-Western,Grade 12,Boys,402
Jumla,Karnali,Mountain,Mid-Western,Grade 11-12,Girls,368
Jumla,Karnali,Mountain,Mid-Western,Grade 11-12,Boys,691
Kailali,Seti,Terai,Far-Western,Grade 11,Girls,2576
Kailali,Seti,Terai,Far-Western,Grade 11,Boys,2672
Kailali,Seti,Terai,Far-Western,Grade 12,Girls,2251
Kailali,Seti,Terai,Far-Western,Grade 12,Boys,2356
Kailali,Seti,Terai,Far-Western,Grade 11-12,Girls,4827
Kailali,Seti,Terai,Far-Western,Grade 11-12,Boys,5028
Kalikot,Karnali,Mountain,Mid-Western,Grade 11,Girls,602
Kalikot,Karnali,Mountain,Mid-Western,Grade 11,Boys,1230
Kalikot,Karnali,Mountain,Mid-Western,Grade 12,Girls,550
Kalikot,Karnali,Mountain,Mid-Western,Grade 12,Boys,1234
Kalikot,Karnali,Mountain,Mid-Western,Grade 11-12,Girls,1152
Kalikot,Karnali,Mountain,Mid-Western,Grade 11-12,Boys,2464
Kanchanpur,Mahakali,Terai,Far-Western,Grade 11,Girls,2158
Kanchanpur,Mahakali,Terai,Far-Western,Grade 11,Boys,2136
Kanchanpur,Mahakali,Terai,Far-Western,Grade 12,Girls,1895
Kanchanpur,Mahakali,Terai,Far-Western,Grade 12,Boys,1741
Kanchanpur,Mahakali,Terai,Far-Western,Grade 11-12,Girls,4053
Kanchanpur,Mahakali,Terai,Far-Western,Grade 11-12,Boys,3877
Kapilbastu,Lumbini,Terai,Western,Grade 11,Girls,1352
Kapilbastu,Lumbini,Terai,Western,Grade 11,Boys,1439
Kapilbastu,Lumbini,Terai,Western,Grade 12,Girls,1333
Kapilbastu,Lumbini,Terai,Western,Grade 12,Boys,1214
Kapilbastu,Lumbini,Terai,Western,Grade 11-12,Girls,2685
Kapilbastu,Lumbini,Terai,Western,Grade 11-12,Boys,2653
Kaski,Gandaki,Hill,Western,Grade 11,Girls,4506
Kaski,Gandaki,Hill,Western,Grade 11,Boys,5031
Kaski,Gandaki,Hill,Western,Grade 12,Girls,3843
Kaski,Gandaki,Hill,Western,Grade 12,Boys,4686
Kaski,Gandaki,Hill,Western,Grade 11-12,Girls,8349
Kaski,Gandaki,Hill,Western,Grade 11-12,Boys,9717
Kathmandu,Bagmati,Hill,Central,Grade 11,Girls,6981
Kathmandu,Bagmati,Hill,Central,Grade 11,Boys,7686
Kathmandu,Bagmati,Hill,Central,Grade 12,Girls,5781
Kathmandu,Bagmati,Hill,Central,Grade 12,Boys,6611
Kathmandu,Bagmati,Hill,Central,Grade 11-12,Girls,12762
Kathmandu,Bagmati,Hill,Central,Grade 11-12,Boys,14297
Kavre,Bagmati,Hill,Central,Grade 11,Girls,2390
Kavre,Bagmati,Hill,Central,Grade 11,Boys,1783
Kavre,Bagmati,Hill,Central,Grade 12,Girls,1991
Kavre,Bagmati,Hill,Central,Grade 12,Boys,1473
Kavre,Bagmati,Hill,Central,Grade 11-12,Girls,4381
Kavre,Bagmati,Hill,Central,Grade 11-12,Boys,3256
Khotang,Sagarmatha,Hill,Eastern,Grade 11,Girls,1061
Khotang,Sagarmatha,Hill,Eastern,Grade 11,Boys,768
Khotang,Sagarmatha,Hill,Eastern,Grade 12,Girls,1231
Khotang,Sagarmatha,Hill,Eastern,Grade 12,Boys,902
Khotang,Sagarmatha,Hill,Eastern,Grade 11-12,Girls,2292
Khotang,Sagarmatha,Hill,Eastern,Grade 11-12,Boys,1670
Lalitpur,Bagmati,Hill,Central,Grade 11,Girls,2296
Lalitpur,Bagmati,Hill,Central,Grade 11,Boys,2212
